Company,Area,Item,y2016,y2017,y2018,y2019
KINDER MORGAN TEJAS PIPELINE LLC,Texas,Electric Power Volume,222593811,202117828,197699632,227763124
KINDER MORGAN TEXAS PIPELINE LLC,Texas,Industrial Volume,187817547,194347829,224393171,214664892
KINDER MORGAN TEXAS PIPELINE LLC,Texas,Electric Power Volume,237862755,228423230,229711980,259398335
KINDER TOWN OF,Louisiana,Residential Volume,24092,20888,24591,21849
KINDER TOWN OF,Louisiana,Commercial Volume,54041,54539,52522,55443
KINDER TOWN OF,Louisiana,Industrial Volume,6241,6419,8673,8606
KINGS MOUNTAIN CITY OF,North Carolina,Residential Volume,143435,129451,160938,144723
KINGS MOUNTAIN CITY OF,North Carolina,Commercial Volume,117131,108223,134198,121475
KINGS MOUNTAIN CITY OF,North Carolina,Industrial Volume,344608,389870,384580,353088
KINGS MOUNTAIN CITY OF,North Carolina,Electric Power Volume,,,9164519,20009534
KNG ENERGY INC,Ohio,Residential Volume,100317,103512,125699,131968
KNG ENERGY INC,Ohio,Commercial Volume,154559,228394,262787,284603
KNG ENERGY INC,Ohio,Industrial Volume,2788404,2792654,2928387,2765684
KNOX ENERGY COOP ASSOCIATION INC,Pennsylvania,Residential Volume,392966,348002,459154,462266
KNOX ENERGY COOP ASSOCIATION INC,Pennsylvania,Commercial Volume,118344,104814,129839,124258
KNOX ENERGY COOPERATIVE ASSOCIATION,Ohio,Residential Volume,1162570,1265688,1485876,1486893
KNOX ENERGY COOPERATIVE ASSOCIATION,Ohio,Commercial Volume,91083,82675,91751,118690
KNOXVILLE UTILITIES BOARD,Tennessee,Residential Volume,4279288,4022278,5283657,4693150
KNOXVILLE UTILITIES BOARD,Tennessee,Commercial Volume,4910432,4874964,5578000,5290534
KNOXVILLE UTILITIES BOARD,Tennessee,Industrial Volume,1743661,1728815,1769234,1685885
KNOXVILLE UTILITIES BOARD,Tennessee,Vehicle Fuel Volume,,,1558,10595
KO TRANSMISSION,Kentucky,Industrial Volume,2417818,2532246,2714684,2904314
KOUNTZE CITY OF,Texas,Residential Volume,4167,3900,4545,4531
KOUNTZE CITY OF,Texas,Commercial Volume,6049,6279,8000,7765
KPC PIPELINE LLC,Kansas,Industrial Volume,116331,109455,120307,123588
KPC PIPELINE LLC,Kansas,Electric Power Volume,1247847,394404,487099,12466
KPC PIPELINE LLC,Kansas,Vehicle Fuel Volume,117815,173616,192313,225961
KPC PIPELINE LLC,Oklahoma,Industrial Volume,204904,314593,294965,161718
KROTZ SPRINGS CITY OF,Louisiana,Residential Volume,6461,4235,5055,7035
KROTZ SPRINGS CITY OF,Louisiana,Commercial Volume,340,223,266,449
KUTTAWA CITY OF,Kentucky,Residential Volume,95670,93016,41162,38744
KUTTAWA CITY OF,Kentucky,Commercial Volume,16494,13555,86529,81347
KUTTAWA CITY OF,Kentucky,Industrial Volume,73819,73895,75652,74095
LA CENTER CITY OF,Kentucky,Residential Volume,14839,15170,19195,18549
LA CENTER CITY OF,Kentucky,Commercial Volume,10954,11577,15577,13455
LA CENTER CITY OF,Kentucky,Industrial Volume,0,,,
LA CYGNE GAS COMPANY,Kansas,Residential Volume,16507,14222,19916,18131
LA CYGNE GAS COMPANY,Kansas,Commercial Volume,8927,9351,12743,12390
LA CYGNE GAS COMPANY,Kansas,Industrial Volume,32181,37556,41072,36222
LAFAYETTE CITY OF,Georgia,Residential Volume,67387,66292,77788,76514
LAFAYETTE CITY OF,Georgia,Commercial Volume,78422,75409,87206,90001
LAFAYETTE CITY OF,Georgia,Industrial Volume,91594,89840,85703,78099
LAFAYETTE CITY OF,Tennessee,Residential Volume,64126,66478,79629,73369
LAFAYETTE CITY OF,Tennessee,Commercial Volume,62326,63710,63801,55180
LAFAYETTE CITY OF,Tennessee,Industrial Volume,18876,23017,40379,40917
LAGRANGE CITY OF,Georgia,Residential Volume,272322,253573,316770,284119
LAGRANGE CITY OF,Georgia,Commercial Volume,272269,258783,345508,337199
LAGRANGE CITY OF,Georgia,Industrial Volume,1432856,1377642,1447553,1533482
LAKE APOPKA NATURAL GAS DISTRICT,Florida,Residential Volume,381604,387526,456588,467167
LAKE APOPKA NATURAL GAS DISTRICT,Florida,Commercial Volume,1296073,1358789,1613493,1596493
LAKE CITY CITY OF,Florida,Residential Volume,37386,31757,39896,35081
LAKE CITY CITY OF,Florida,Commercial Volume,411776,346851,361599,366965
LAKE CITY CITY OF,Florida,Industrial Volume,117372,118547,109552,113309
LAKE COUNTY UTILITY DISTRICT,Tennessee,Residential Volume,69323,70494,95201,91281
LAKE COUNTY UTILITY DISTRICT,Tennessee,Commercial Volume,78093,77760,112297,85665
LAKE CUMBERLAND GAS AUTHORITY,Kentucky,Residential Volume,5975,4820,6954,7008
LAKE CUMBERLAND GAS AUTHORITY,Kentucky,Commercial Volume,21823,21366,30168,29310
LAKE CUMBERLAND GAS AUTHORITY,Kentucky,Industrial Volume,12858,12772,18329,17233
LAKE PARK,Iowa,Residential Volume,35084,35159,44100,43558
LAKE PARK,Iowa,Commercial Volume,11902,12008,14675,14378
LAKE PARK,Iowa,Industrial Volume,49693,57706,54822,58089
LAKE PARK PUBLIC UTILITIES,Minnesota,Residential Volume,17916,19683,23084,23764
LAKE PARK PUBLIC UTILITIES,Minnesota,Commercial Volume,7221,7700,8528,9049
LAKE REGION ENERGY SERVICES,Minnesota,Residential Volume,,1537,13265,32763
LAKE REGION ENERGY SERVICES,Minnesota,Commercial Volume,,831,3282,5506
LAKE REGION ENERGY SERVICES,Minnesota,Industrial Volume,,30502,80543,105740
LAKE SHORE GAS STORAGE LLC,Ohio,Residential Volume,,,,0
LAKE SHORE GAS STORAGE LLC,Ohio,Commercial Volume,,,,0
LAKE SHORE GAS STORAGE LLC,Ohio,Industrial Volume,,,,0
LAKE SHORE GAS STORAGE LLC,Ohio,Electric Power Volume,,,,0
LAKE SHORE GAS STORAGE LLC,Ohio,Vehicle Fuel Volume,,,,0
LAKE SHORE GAS STORAGE LLC,Ohio,Other Volume,,,,0
LAKIN CITY OF,Kansas,Residential Volume,,,,0
LAKIN CITY OF,Kansas,Electric Power Volume,79,15,0,
LAMAR CTY GAS DIST,Alabama,Residential Volume,34726,32009,44253,41777
LAMAR CTY GAS DIST,Alabama,Commercial Volume,267232,82905,58652,12763
LAMAR CTY GAS DIST,Alabama,Industrial Volume,11240,10756,16047,70436
LAMONI MUN UTIL,Iowa,Residential Volume,41394,43178,53405,51027
LAMONI MUN UTIL,Iowa,Commercial Volume,60027,57164,70488,71589
LANCASTER CTY NAT GAS AUTHORITY,South Carolina,Residential Volume,913132,979744,1262783,1269904
LANCASTER CTY NAT GAS AUTHORITY,South Carolina,Commercial Volume,238713,197875,235334,229211
LANCASTER CTY NAT GAS AUTHORITY,South Carolina,Industrial Volume,538301,553570,581950,530769
LANCASTER MUNICIPAL GAS,Ohio,Residential Volume,823669,867452,1025126,972913
LANCASTER MUNICIPAL GAS,Ohio,Commercial Volume,336460,360690,429019,416179
LANCASTER MUNICIPAL GAS,Ohio,Industrial Volume,565280,586455,606682,560582
LANETT CITY OF,Alabama,Residential Volume,62016,,,
LANETT CITY OF,Alabama,Commercial Volume,15505,,,
LAPEL MUNICIPAL WATER AND GAS,Indiana,Residential Volume,51164,51732,,54869
LAPEL MUNICIPAL WATER AND GAS,Indiana,Commercial Volume,18289,19813,,22412
LAS CRUCES MUN GAS,New Mexico,Residential Volume,1338218,1197815,1375585,1552921
LAS CRUCES MUN GAS,New Mexico,Commercial Volume,1442214,1290955,1327561,1461703
LAS CRUCES MUN GAS,New Mexico,Industrial Volume,247045,244412,228746,244108
LAS VEGAS NAT GAS DEPT CITY OF,New Mexico,Residential Volume,245120,235216,271438,286656
LAS VEGAS NAT GAS DEPT CITY OF,New Mexico,Commercial Volume,368510,372249,420216,424989
LAUREL FUEL COMPANY,Mississippi,Commercial Volume,,,0,0
LAUREL FUEL COMPANY,Mississippi,Industrial Volume,231464,199522,235516,209307
LAURENS COMMISSION OF PUBLIC WORKS,South Carolina,Residential Volume,287177,235469,311146,271441
LAURENS COMMISSION OF PUBLIC WORKS,South Carolina,Commercial Volume,79140,115734,147616,146505
LAURENS COMMISSION OF PUBLIC WORKS,South Carolina,Industrial Volume,530257,704514,538376,553488
LAVACA PIPELINE COMPANY,Texas,Industrial Volume,2049848,2606586,4326898,3954703
LAWRENCEBURG UTILITY SYSTEMS,Tennessee,Residential Volume,202271,191276,265587,230570
LAWRENCEBURG UTILITY SYSTEMS,Tennessee,Commercial Volume,181272,178045,234781,196956
LAWRENCEBURG UTILITY SYSTEMS,Tennessee,Industrial Volume,147269,179564,178501,203706
LAWRENCEVILLE CITY OF,Georgia,Residential Volume,2403306,2273875,2987955,2803151
LAWRENCEVILLE CITY OF,Georgia,Commercial Volume,954735,932797,1138765,1196325
LAWRENCEVILLE CITY OF,Georgia,Industrial Volume,3850,3418,5494,4795
LDC LLC,Texas,Residential Volume,38507,41922,58102,61660
LDC LLC,Texas,Commercial Volume,59175,82328,40589,37296
LDC LLC,Texas,Industrial Volume,35650,30691,94667,83064
LEATHERSTOCKING GAS COMPANY LLC,Pennsylvania,Residential Volume,16304,20820,22898,27490
LEATHERSTOCKING GAS COMPANY LLC,Pennsylvania,Commercial Volume,48254,51213,53697,58444
LEATHERSTOCKING GAS COMPANY LLC,Pennsylvania,Industrial Volume,242524,248040,263187,277368
LEBANON CITY OF,Tennessee,Residential Volume,317936,288344,424992,383724
LEBANON CITY OF,Tennessee,Commercial Volume,374857,365900,519332,462909
LEBANON CITY OF,Tennessee,Industrial Volume,314504,418030,470502,663858
LEBANON CITY OF,Tennessee,Vehicle Fuel Volume,1880,,,
LEBO CITY OF,Kansas,Residential Volume,13150,12725,16683,16257
LEBO CITY OF,Kansas,Commercial Volume,4379,5216,7833,7686
LEESBURG CITY OF,Florida,Residential Volume,165714,156872,192781,185768
LEESBURG CITY OF,Florida,Commercial Volume,253892,250173,241266,240093
LEESBURG CITY OF,Florida,Industrial Volume,445445,461791,449618,442105
LEFORS TOWN OF,Texas,Residential Volume,12191,10174,10786,10607
LEFORS TOWN OF,Texas,Commercial Volume,2744,2862,4623,5990
LEITCHFIELD UTIL,Kentucky,Residential Volume,69701,63673,86433,86433
LEITCHFIELD UTIL,Kentucky,Commercial Volume,91556,86152,105484,153138
LEITCHFIELD UTIL,Kentucky,Industrial Volume,206479,209864,228818,181614
LENOIR CITY UTIL BD,Tennessee,Residential Volume,192296,190288,254126,233077
LENOIR CITY UTIL BD,Tennessee,Commercial Volume,135710,151120,182158,171325
LENOIR CITY UTIL BD,Tennessee,Industrial Volume,30332,25944,15238,18588
LENOX GAS SYSTEM,Iowa,Residential Volume,32989,34190,41907,45785
LENOX GAS SYSTEM,Iowa,Commercial Volume,171293,183504,191095,202874
LEONVILLE TOWN OF,Louisiana,Residential Volume,7707,6761,8789,9058
LEONVILLE TOWN OF,Louisiana,Commercial Volume,773,803,855,1237
LEWISBURG GAS DEPT,Tennessee,Residential Volume,85239,80124,102061,93645
LEWISBURG GAS DEPT,Tennessee,Commercial Volume,97630,93420,116620,105605
LEWISBURG GAS DEPT,Tennessee,Industrial Volume,620476,691021,716323,667384
LEWISPORT CITY OF,Kentucky,Residential Volume,61707,60377,79969,70738
LEWISPORT CITY OF,Kentucky,Commercial Volume,24324,23802,26748,26577
LEWISPORT CITY OF,Kentucky,Industrial Volume,160773,203294,219974,203308
LEX GAS SYSTEM,Tennessee,Residential Volume,359305,333583,465543,436320
LEX GAS SYSTEM,Tennessee,Commercial Volume,95326,99848,128642,117510
LEX GAS SYSTEM,Tennessee,Industrial Volume,354514,344364,403030,401983
LEXINGTON CITY OF,North Carolina,Residential Volume,329484,322004,382615,371832
LEXINGTON CITY OF,North Carolina,Commercial Volume,455519,442983,471461,485465
LEXINGTON CITY OF,North Carolina,Industrial Volume,1256496,1230358,1288956,990461
LEXINGTON CITY OF,North Carolina,Vehicle Fuel Volume,298,302,234,250
LIBERAL MUNICIPAL NATURAL GAS SYSTEM,Missouri,Residential Volume,12226,11445,15972,14767
LIBERAL MUNICIPAL NATURAL GAS SYSTEM,Missouri,Commercial Volume,3690,3554,5504,4612
LIBERTY ENERGY DBA LIBERTY UTILITES,Georgia,Residential Volume,1983483,1863347,2243094,2121119
LIBERTY ENERGY DBA LIBERTY UTILITES,Georgia,Commercial Volume,1904244,1821389,1552533,1504221
LIBERTY ENERGY DBA LIBERTY UTILITES,Georgia,Industrial Volume,3047887,3730460,4339282,4169967
LIBERTY ENERGY DBA LIBERTY UTILITIES,Illinois,Residential Volume,1239730,1174713,1629162,1385371
LIBERTY ENERGY DBA LIBERTY UTILITIES,Illinois,Commercial Volume,672281,645506,818194,768477
LIBERTY ENERGY DBA LIBERTY UTILITIES,Illinois,Industrial Volume,702547,609229,363908,286521
LIBERTY ENERGY DBA LIBERTY UTILITIES,Iowa,Residential Volume,242219,243539,332596,292948
LIBERTY ENERGY DBA LIBERTY UTILITIES,Iowa,Commercial Volume,170192,173510,209051,207179
LIBERTY ENERGY DBA LIBERTY UTILITIES,Iowa,Industrial Volume,3930616,4118913,4302538,3858322
LIBERTY ENERGY DBA LIBERTY UTILITIES,Missouri,Residential Volume,2592893,2526642,3407618,2976033
LIBERTY ENERGY DBA LIBERTY UTILITIES,Missouri,Commercial Volume,1761196,1706453,2123036,2310335
LIBERTY ENERGY DBA LIBERTY UTILITIES,Missouri,Industrial Volume,2379618,2488837,3335000,3088498
LIBERTY GAS CO,Kentucky,Residential Volume,15168,12516,23874,15564
LIBERTY GAS CO,Kentucky,Commercial Volume,73038,59201,71731,69539
LIBERTY PL CO INC,West Virginia,Residential Volume,,86,97,97
LIBERTY PL CO INC,West Virginia,Commercial Volume,89,146,,0
LIBERTY TOWN OF,Mississippi,Residential Volume,7592,7209,6787,7036
LIBERTY TOWN OF,Mississippi,Commercial Volume,3391,3681,3812,4163
LIBERTY TOWN OF,Mississippi,Industrial Volume,132,1662,1165,892
LIBERTY UTILITIES DBA ENERGY NORTH N,New Hampshire,Residential Volume,5263791,5619860,6204394,6149180
LIBERTY UTILITIES DBA ENERGY NORTH N,New Hampshire,Commercial Volume,5886508,6259027,6943067,6968570
LIBERTY UTILITIES DBA ENERGY NORTH N,New Hampshire,Industrial Volume,3543997,3814664,4031790,3915153
LIBERTY UTILITIES NENGC CORP,Massachusetts,Residential Volume,3468916,3706004,4134451,4013101
LIBERTY UTILITIES NENGC CORP,Massachusetts,Commercial Volume,1567904,1666588,1905040,1819739
LIBERTY UTILITIES NENGC CORP,Massachusetts,Industrial Volume,756042,695519,669193,627363
LIBERTY UTILITIES-ST LAWRENCE GAS,New York,Residential Volume,1435438,1458803,1648481,1657240
LIBERTY UTILITIES-ST LAWRENCE GAS,New York,Commercial Volume,1848072,1924010,2152917,2140294
LIBERTY UTILITIES-ST LAWRENCE GAS,New York,Industrial Volume,3429392,3393113,3433494,3450938
LIBERTY UTILITIES-ST LAWRENCE GAS,New York,Electric Power Volume,194629,232348,258086,165280
LINDEN TOWN OF,Tennessee,Residential Volume,52172,45480,66106,59878
LINDEN TOWN OF,Tennessee,Commercial Volume,30369,28690,30421,25924
LINDEN TOWN OF,Tennessee,Industrial Volume,0,,0,6
LINDSEY AND ELLIOTT,Kentucky,Residential Volume,2962,2580,3304,2674
LINDSEY AND ELLIOTT,Kentucky,Commercial Volume,281,270,408,350
LINEVILLE MUN NAT GAS SYSTEM,Iowa,Residential Volume,5214,5540,6772,6931
LINEVILLE MUN NAT GAS SYSTEM,Iowa,Commercial Volume,1743,1776,2239,2203
LINN ENERGY LLC,Kansas,Residential Volume,0,,,
LINN ENERGY LLC,Kansas,Industrial Volume,322390,271637,152892,
LINTON CITY OF,Indiana,Residential Volume,136846,132960,163463,160094
LINTON CITY OF,Indiana,Commercial Volume,68741,72401,79727,76298
LITTLE RIVER CITY OF,Kansas,Residential Volume,11177,11062,13656,13998
LITTLE RIVER CITY OF,Kansas,Commercial Volume,5564,5063,6860,7077
LIVE OAK CITY OF,Florida,Residential Volume,9036,10628,11227,9916
LIVE OAK CITY OF,Florida,Commercial Volume,30719,29126,29514,31758
LIVE OAK CITY OF,Florida,Industrial Volume,45849,50163,52575,49283
LIVINGSTON CITY OF,Alabama,Residential Volume,24016,21402,27050,24760
LIVINGSTON CITY OF,Alabama,Commercial Volume,11301,10541,14566,13333
LIVINGSTON GAS & UTILITY CO,Louisiana,Residential Volume,37765,32109,43843,42498
LIVINGSTON GAS & UTILITY CO,Louisiana,Commercial Volume,20776,19125,20719,20491
LIVINGSTON PARISH GUD 1,Louisiana,Residential Volume,21114,17643,22249,8401
LIVINGSTON PARISH GUD 1,Louisiana,Commercial Volume,6194,4502,6102,5109
LIVINGSTON PARISH GUD 1,Louisiana,Industrial Volume,30770,35817,39196,64810
LIVINGSTON TOWN OF,Louisiana,Residential Volume,15326,11580,14957,13861
LIVINGSTON TOWN OF,Louisiana,Commercial Volume,7811,7006,8276,7902
LIVINGSTON TOWN OF,Louisiana,Industrial Volume,1242,7926,7173,9859
LIVINGSTON TOWN OF,Tennessee,Residential Volume,46251,42701,58561,50504
LIVINGSTON TOWN OF,Tennessee,Commercial Volume,50647,51523,67050,63507
LIVINGSTON TOWN OF,Tennessee,Industrial Volume,85421,68268,87648,83856
LIVONIA GAS AND WATER,Louisiana,Residential Volume,9249,8612,9942,9752
LIVONIA GAS AND WATER,Louisiana,Commercial Volume,4473,4657,4670,4756
LOBELVILLE CITY OF,Tennessee,Residential Volume,9574,8705,11109,10951
LOBELVILLE CITY OF,Tennessee,Commercial Volume,3321,2799,4687,3300
LOBELVILLE CITY OF,Tennessee,Industrial Volume,43546,41207,33553,25231
LOGAN TWP GAS USERS ASSN,Arkansas,Residential Volume,3775,3584,4960,4967
LOGAN TWP GAS USERS ASSN,Arkansas,Commercial Volume,435,404,406,498
LOGANSPORT TOWN OF,Louisiana,Residential Volume,7441,7579,8856,8613
LOGANSPORT TOWN OF,Louisiana,Commercial Volume,10846,10983,11473,9518
LONG BEACH CITY OF,California,Residential Volume,4354827,4319844,4417087,4719347
LONG BEACH CITY OF,California,Commercial Volume,1809364,1764985,1779543,1888143
LONG BEACH CITY OF,California,Industrial Volume,1472644,1708589,1577383,1733826
LONG BEACH CITY OF,California,Electric Power Volume,627494,791602,683166,541070
LONG BEACH CITY OF,California,Vehicle Fuel Volume,309318,440466,398345,392604
LORDSBURG CITY OF,New Mexico,Residential Volume,33828,29619,30407,34482
LORDSBURG CITY OF,New Mexico,Commercial Volume,22811,23470,26691,24226
LORETTO CITY OF,Tennessee,Residential Volume,30888,25568,36879,38409
LORETTO CITY OF,Tennessee,Commercial Volume,16820,16735,18638,18765
LORIMOR MUNICIPAL GAS SYS,Iowa,Residential Volume,8850,10545,11680,12354
LORIMOR MUNICIPAL GAS SYS,Iowa,Commercial Volume,1110,1367,1558,1734
LOS ALAMOS CITY OF,New Mexico,Residential Volume,587018,555569,568342,660166
LOS ALAMOS CITY OF,New Mexico,Commercial Volume,196546,191094,192834,200392
LOUDON UTIL GAS DEPT,Tennessee,Residential Volume,139300,134267,179390,159323
LOUDON UTIL GAS DEPT,Tennessee,Commercial Volume,118567,112705,153385,163949
LOUDON UTIL GAS DEPT,Tennessee,Industrial Volume,4841684,3046824,3125365,2932847
LOUISBURG CITY OF,Kansas,Residential Volume,63745,70263,86219,93702
LOUISBURG CITY OF,Kansas,Commercial Volume,29973,31515,38749,40350
LOUISVILLE CITY OF,Georgia,Residential Volume,15111,15406,19063,18731
LOUISVILLE CITY OF,Georgia,Commercial Volume,28185,26368,30084,27720
LOUISVILLE CITY OF,Georgia,Industrial Volume,36081,43080,51363,48328
LOUISVILLE GAS AND ELECTRIC CO,Kentucky,Residential Volume,18156424,16730860,19743643,18860402
LOUISVILLE GAS AND ELECTRIC CO,Kentucky,Commercial Volume,10835531,10247154,11994313,11927168
LOUISVILLE GAS AND ELECTRIC CO,Kentucky,Industrial Volume,12910895,13334667,14414836,14089250
LOUISVILLE GAS AND ELECTRIC CO,Kentucky,Electric Power Volume,1381953,340482,321267,304810
LOUISVILLE GAS AND ELECTRIC CO,Kentucky,Vehicle Fuel Volume,265,,,
LOUISVILLE VILLAGE OF,Illinois,Residential Volume,21088,20142,25394,23124
LOUISVILLE VILLAGE OF,Illinois,Commercial Volume,15725,14540,17951,19102
LOWER COLORADO RIVER AUTHORITY,Texas,Electric Power Volume,6515901,7097716,6444973,7396902
LOWER VALLEY ENERGY INC,Wyoming,Residential Volume,199447,230038,233951,265118
LOWER VALLEY ENERGY INC,Wyoming,Commercial Volume,550214,585345,594219,615827
LOWER VALLEY ENERGY INC,Wyoming,Vehicle Fuel Volume,1289,1039,2031,2074
LUMBERPORT SHINNSTON GAS CO,West Virginia,Residential Volume,208285,199208,243177,229125
LUMBERPORT SHINNSTON GAS CO,West Virginia,Commercial Volume,72552,79427,104147,111985
LUMPKIN CITY OF,Georgia,Residential Volume,3274,3003,3251,2652
LUMPKIN CITY OF,Georgia,Commercial Volume,17403,19931,20604,21248
LUMPKIN CITY OF,Georgia,Industrial Volume,0,0,0,0
LYONS CITY OF,Kansas,Residential Volume,77217,75947,95167,96739
LYONS CITY OF,Kansas,Commercial Volume,42164,40838,48604,49236
LYONS CITY OF,Kansas,Industrial Volume,10028,11730,16220,16731
LYONS CITY OF,Nebraska,Residential Volume,26197,27556,34511,33607
LYONS CITY OF,Nebraska,Commercial Volume,6634,7561,8382,6782
LYONS CITY OF,Nebraska,Industrial Volume,6772,7140,9707,9708
LYTLE CITY OF,Texas,Residential Volume,7041,6058,7571,7492
LYTLE CITY OF,Texas,Commercial Volume,14545,15019,16799,17372
MACON MUNICIPAL UTILITIES,Missouri,Residential Volume,109870,105315,142146,137746
MACON MUNICIPAL UTILITIES,Missouri,Commercial Volume,78707,76039,96165,95002
MACON MUNICIPAL UTILITIES,Missouri,Industrial Volume,999830,1025791,1006339,1080432
MACON MUNICIPAL UTILITIES,Missouri,Electric Power Volume,879287,873536,985899,980217
MADISON CITY OF,Florida,Residential Volume,19642,17495,20670,17525
MADISON CITY OF,Florida,Commercial Volume,53787,55369,57232,51623
MADISON CITY OF,Florida,Industrial Volume,40858,42561,46920,50628
MADISON CITY OF,Georgia,Residential Volume,51227,49338,69986,62820
MADISON CITY OF,Georgia,Commercial Volume,68440,62895,80384,83457
MADISON CITY OF,Georgia,Industrial Volume,121141,187467,221147,217747
MADISON CITY OF,Missouri,Residential Volume,8420,7725,10411,10330
MADISON CITY OF,Missouri,Commercial Volume,4110,3716,5613,5275
MADISON ENERGY COOPERATIVE ASSOC INC,Ohio,Residential Volume,62819,131239,173925,169751
MADISON ENERGY COOPERATIVE ASSOC INC,Ohio,Commercial Volume,69590,108049,110803,114530
MADISON GAS ELEC CO,Wisconsin,Residential Volume,8862916,10552830,12307096,12510985
MADISON GAS ELEC CO,Wisconsin,Commercial Volume,12719318,11809117,13176372,13244948
MADISON GAS ELEC CO,Wisconsin,Industrial Volume,1412821,1319869,1493751,1487047
MADISON GAS ELEC CO,Wisconsin,Electric Power Volume,6505929,3658538,3829657,4570524
MADISON GAS ELEC CO,Wisconsin,Vehicle Fuel Volume,116682,121715,140467,163090
MADISONVILLE CITY OF,Tennessee,Residential Volume,42336,45872,49174,43633
MADISONVILLE CITY OF,Tennessee,Commercial Volume,43888,35751,51503,46622
MADISONVILLE TOWN OF,Louisiana,Residential Volume,187670,167180,235082,224886
MADISONVILLE TOWN OF,Louisiana,Commercial Volume,14543,12959,14209,15247
MADISONVILLE TOWN OF,Louisiana,Industrial Volume,440,2,,4036
MAGIC VALLEY PIPELINE LP,Texas,Electric Power Volume,24507044,39193042,37787785,68301626
MAGNOLIA NATURAL GAS LLC,Louisiana,Residential Volume,4452,3942,6067,5583
MAGNOLIA NATURAL GAS LLC,Louisiana,Commercial Volume,737,745,934,724
MAGNOLIA NATURAL GAS LLC,Louisiana,Industrial Volume,57085,39764,41583,43231
MAGNUM HUNTER PRODUCTION INC,Kentucky,Residential Volume,6089,5897,5784,
MAGNUM HUNTER PRODUCTION INC,Kentucky,Commercial Volume,3271,3200,2859,
MAGNUM HUNTER PRODUCTION INC,Kentucky,Industrial Volume,17957,18705,16551,
MAGNUM HUNTER PRODUCTION INC,Tennessee,Commercial Volume,223684,217920,0,
MAGNUM HUNTER PRODUCTION INC,Virginia,Commercial Volume,51931,39900,39075,37947
MAINE NATURAL GAS CORP,Maine,Residential Volume,335241,353034,397968,405009
MAINE NATURAL GAS CORP,Maine,Commercial Volume,1605237,1758600,1874775,1958797
MAINE NATURAL GAS CORP,Maine,Industrial Volume,64697,70317,54704,63800
MAINE NATURAL GAS CORP,Maine,Electric Power Volume,15180306,9492809,10655368,6859525
MAJOR PIPELINE LLC,Kentucky,Industrial Volume,75853,306247,469372,555893
MAMOU TOWN OF,Louisiana,Residential Volume,21734,21557,25665,22605
MAMOU TOWN OF,Louisiana,Commercial Volume,27409,20460,23004,21763
MANCHESTER CITY OF,Georgia,Residential Volume,24330,21563,19756,
MANCHESTER CITY OF,Georgia,Commercial Volume,2646,2088,1149,
MANCHESTER CITY OF,Georgia,Industrial Volume,35864,30558,19691,
MANILLA CITY OF,Iowa,Residential Volume,18116,18597,21969,22110
MANILLA CITY OF,Iowa,Commercial Volume,3171,3403,3477,3315
MANILLA CITY OF,Iowa,Industrial Volume,1507,1661,2080,7681
MANILLA CITY OF,Iowa,Electric Power Volume,178,172,766,953
MANNFORD PUB WORKS AUTHORITY,Oklahoma,Residential Volume,43401,43509,58897,59331
MANNFORD PUB WORKS AUTHORITY,Oklahoma,Commercial Volume,32099,27594,38244,46629
MANNFORD PUB WORKS AUTHORITY,Oklahoma,Vehicle Fuel Volume,3496,2135,2770,2720
MANNING MUN NAT GAS,Iowa,Residential Volume,43503,43151,55973,56041
MANNING MUN NAT GAS,Iowa,Commercial Volume,19339,21186,37258,42352
MANNING MUN NAT GAS,Iowa,Industrial Volume,349552,376908,426728,488326
MAPLESVILLE UT BD,Alabama,Residential Volume,11062,10149,13427,9855
MAPLESVILLE UT BD,Alabama,Commercial Volume,7514,7185,9127,6794
MAPLESVILLE UT BD,Alabama,Industrial Volume,4719,6819,9179,6000
MAPLETON CITY OF,Iowa,Residential Volume,23697,23630,28035,29612
MAPLETON CITY OF,Iowa,Commercial Volume,13615,13283,15564,16155
MAPLETON CITY OF,Iowa,Industrial Volume,4881,5049,5286,5518
MARIANNA CITY OF,Florida,Residential Volume,18748,15918,18817,16589
MARIANNA CITY OF,Florida,Commercial Volume,183967,182659,186311,154929
MARIANNA CITY OF,Florida,Vehicle Fuel Volume,4329,4018,4286,4451
MARIETTA CITY OF,Texas,Residential Volume,8189,7419,10083,10856
MARIETTA CITY OF,Texas,Commercial Volume,2023,1896,3174,2415
MARINGOUIN TOWN OF,Louisiana,Residential Volume,11227,18312,21978,22246
MARINGOUIN TOWN OF,Louisiana,Commercial Volume,4608,897,828,3477
MARION NATURAL GAS SYSTEMS,Tennessee,Residential Volume,66189,63731,82156,61980
MARION NATURAL GAS SYSTEMS,Tennessee,Commercial Volume,127008,125337,154761,138508
MARION NATURAL GAS SYSTEMS,Tennessee,Industrial Volume,175292,175661,197474,221262
MARITIMES NORTHEAST PIPELINE LLC,Maine,Industrial Volume,4987814,5211718,4972952,5102016
MARITIMES NORTHEAST PIPELINE LLC,Maine,Electric Power Volume,4082693,2458252,1732500,2071084
MARITIMES NORTHEAST PIPELINE LLC,Massachusetts,Industrial Volume,1013,2296,764,993
MARITIMES NORTHEAST PIPELINE LLC,New Hampshire,Industrial Volume,903563,876713,888936,901089
MARITIMES NORTHEAST PIPELINE LLC,New Hampshire,Electric Power Volume,9457896,5857824,5661031,3684388
MARKHAM GAS CORP,Texas,Residential Volume,5291,4716,5880,7724
